Age,12-A6,12-B1,12-B2,12-B3,12-B4,12-B5,12-C1,12-C2,12-C3,12-C4,12-C5,12-D1,12-D2,12-D3,18-A6,18-B1,18-B2,18-B3,18-B4,18-B5,18-C1,18-C2,18-C3,18-C4,18-C5,18-D1,18-D2,18-D3,24-A6,24-B1,24-B2,24-B3,24-B4,24-B5,24-C1,24-C2,24-C3,24-C4,24-C5,24-D1,24-D2,24-D3,30-A6,30-B1,30-B2,30-B3,30-B4,30-B5,30-C1,30-C2,30-C3,30-C4,30-C5,30-D1,30-D2,30-D3,36-A6,36-B1,36-B2,36-B3,36-B4,36-B5,36-C1,36-C2,36-C3,36-C4,36-C5,36-D1,36-D2,36-D3,42-A6,42-B1,42-B2,42-B3,42-B4,42-B5,42-C1,42-C2,42-C3,42-C4,42-C5,42-D1,42-D2,42-D3,48-A6,48-B1,48-B2,48-B3,48-B4,48-B5,48-C1,48-C2,48-C3,48-C4,48-C5,48-D1,48-D2,48-D3,54-A6,54-B1,54-B2,54-B3,54-B4,54-B5,54-C1,54-C2,54-C3,54-C4,54-C5,54-D1,54-D2,54-D3,60-A6,60-B1,60-B2,60-B3,60-B4,60-B5,60-C1,60-C2,60-C3,60-C4,60-C5,60-D1,60-D2,60-D3,
1,0.0002003055033,0.0004742795334,0.0007465713449,0.0009780084618,0.0012811910850,0.0015619967791,0.0073014411073,0.0080118882099,0.0092952935347,0.0100338045450,0.0121688214562,0.0119696196671,0.0127548842777,0.0135431142000,0.0003015229185,0.0004397851193,0.0005719269295,0.0007048947328,0.0008384731529,0.0009726822871,0.0018307659486,0.0020321502030,0.0023473564956,0.0026025191874,0.0036065661431,0.0037590616887,0.0041240443000,0.0044806712780,0.0003712045873,0.0004848730882,0.0005924985353,0.0007010639083,0.0008106516876,0.0009212901109,0.0018811539636,0.0020736404723,0.0022575931774,0.0024431985740,0.0031603624931,0.0038462080447,0.0041152761031,0.0043836540990,0.0001194096791,0.0001515408227,0.0001900195518,0.0002319385985,0.0002893166539,0.0003539492169,0.0008220206945,0.0009322913558,0.0010348434050,0.0011486761795,0.0016481842661,0.0050170036884,0.0054892891182,0.0059920762670,0.0002134181579,0.0002658440719,0.0003193114939,0.0003739035536,0.0004568138871,0.0005498080687,0.0013687248568,0.0015169999947,0.0016623601343,0.0018111498856,0.0019637611044,0.0067499631550,0.0072576683635,0.0077867836048,0.0001388872233,0.0001785604214,0.0002240136441,0.0002752288494,0.0003778561913,0.0004789663312,0.0011213908195,0.0012860219186,0.0014643542097,0.0016066516055,0.0018693004134,0.0058737135272,0.0067777666819,0.0072492969497,0.0001875709087,0.0002235144785,0.0002605528856,0.0002983731183,0.0003828054879,0.0004296078534,0.0013996260212,0.0015535848835,0.0017168836397,0.0017885555431,0.0020635207509,0.0064146221600,0.0074145125912,0.0074886577171,0.0004208220370,0.0005138570909,0.0006161503609,0.0007281755786,0.0009783325475,0.0011859050341,0.0018313055442,0.0021316456106,0.0024646156963,0.0026899806402,0.0032467565355,0.0064215784797,0.0076329571804,0.0080340834453,0.0006323040895,0.0007364551493,0.0008451365907,0.0009569547971,0.0011480393639,0.0013663062997,0.0020205640047,0.0022426449872,0.0024789271037,0.0027262449207,0.0029858916494,0.0072802871326,0.0078883772289,0.0085406740824,0.1024880889889
2,0.0004179540368,0.0009896235611,0.0015577829972,0.0020406957263,0.0026733114014,0.0032592357593,0.0072821097029,0.0079906758153,0.0092706831770,0.0100072388945,0.0121366031031,0.0108666771675,0.0115795834462,0.0122951817975,0.0005261643393,0.0007674350192,0.0009980254786,0.0012300573145,0.0014631546908,0.0016973526773,0.0025733535498,0.0028564224403,0.0032994813865,0.0036581420986,0.0050694463668,0.0062628564538,0.0068709426976,0.0074651078791,0.0006477604337,0.0008461145487,0.0010339233977,0.0012233724389,0.0014146056021,0.0016076721630,0.0026441797400,0.0029147418185,0.0031733086479,0.0034341985266,0.0044422554649,0.0064080483030,0.0068563342759,0.0073034705570,0.0004811770338,0.0006106537102,0.0007657088185,0.0009346271396,0.0011658395736,0.0014262850012,0.0020864092045,0.0023662923321,0.0026265844886,0.0029155087824,0.0041833336394,0.0078257615733,0.0085624549062,0.0093467262747,0.0008599965845,0.0010712537118,0.0012867077327,0.0015066936296,0.0018407917416,0.0022155240481,0.0034740246308,0.0038503686994,0.0042193140741,0.0045969643069,0.0049843139853,0.0105289143800,0.0113208571726,0.0121461963551,0.0008696789620,0.0011181031507,0.0014027204870,0.0017234179965,0.0023660461523,0.0029991739482,0.0035938782459,0.0041214945913,0.0046930210658,0.0051490614635,0.0059908088903,0.0090966465280,0.0104967577102,0.0112270187544,0.0011745246921,0.0013995948301,0.0016315205801,0.0018683419374,0.0023970374777,0.0026901028272,0.0044855775728,0.0049789911058,0.0055023375048,0.0057320344936,0.0066132540128,0.0099343541577,0.0114828889607,0.0115977178503,0.0011965013229,0.0014610230337,0.0017518681466,0.0020703835983,0.0027816418451,0.0033718218572,0.0044601764639,0.0051916599126,0.0060026143403,0.0065514945760,0.0079075319405,0.0097955078005,0.0116433509047,0.0122552309074,0.0017977971997,0.0020939244694,0.0024029327365,0.0027208596038,0.0032641603744,0.0038847473551,0.0049211187320,0.0054620008226,0.0060374700217,0.0066398168611,0.0072721909790,0.0111053862571,0.0120329699190,0.0130279867886,0.1563358414637
3,0.0005643496823,0.0013362563659,0.0021034234919,0.0027554847744,0.0036096850545,0.0044008395742,0.0069575392537,0.0076345239109,0.0088574801457,0.0095612068851,0.0115956633368,0.0106013115412,0.0112968085587,0.0119949319081,0.0007594678785,0.0011077190192,0.0014405542837,0.0017754700371,0.0021119237962,0.0024499661809,0.0032939941834,0.0036563335436,0.0042234664943,0.0046825663718,0.0064890915774,0.0082506058471,0.0090516907762,0.0098344362785,0.0009349802059,0.0012212853918,0.0014923694951,0.0017658210588,0.0020418478320,0.0023205209394,0.0033846545043,0.0037309846512,0.0040619604054,0.0043959097546,0.0056862624508,0.0084418797056,0.0090324458309,0.0096214973672,0.0008205432523,0.0010413376912,0.0013057506077,0.0015938042321,0.0019880869788,0.0024322202670,0.0031981672679,0.0036271881212,0.0040261788146,0.0044690584842,0.0064124528817,0.0101442785316,0.0110992299816,0.0121158552815,0.0014665379784,0.0018267912702,0.0021942014553,0.0025693397737,0.0031390717687,0.0037780965846,0.0053251834961,0.0059020651927,0.0064676057483,0.0070464896081,0.0076402413323,0.0136482870206,0.0146748565363,0.0157447166992,0.0015059554976,0.0019361323665,0.0024289820972,0.0029843090612,0.0040970983162,0.0051934365360,0.0057322821603,0.0065738370370,0.0074854291360,0.0082128194528,0.0095554174565,0.0118386637921,0.0136608128122,0.0146111976553,0.0020338331665,0.0024235696401,0.0028251774443,0.0032352625913,0.0041507635869,0.0046582420859,0.0071545540887,0.0079415550385,0.0087762992957,0.0091426689558,0.0105482254559,0.0129288830232,0.0149441952426,0.0150936371950,0.0018766279865,0.0022915116443,0.0027476817030,0.0032472507376,0.0043628091629,0.0052884649114,0.0067500537715,0.0078570845474,0.0090843871077,0.0099150652512,0.0119672991035,0.0127036784761,0.0151001243928,0.0158936643479,0.0028197181853,0.0032841729345,0.0037688306203,0.0042674765018,0.0051196054645,0.0060929524000,0.0074476461472,0.0082662198571,0.0091371378733,0.0100487326472,0.0110057708572,0.0144024443895,0.0156054166948,0.0168958423315,0.2027501079779
4,0.0006572270861,0.0015561697034,0.0024495927541,0.0032089665079,0.0042037461254,0.0051251042762,0.0065166748773,0.0071507624112,0.0082962260415,0.0089553611460,0.0108609042934,0.0108210931790,0.0115310089288,0.0122436054584,0.0009941442211,0.0014500053165,0.0018856870143,0.0023240920743,0.0027645103853,0.0032070082086,0.0039897093596,0.0044285773891,0.0051154928830,0.0056715579445,0.0078596342190,0.0097982457968,0.0107495973927,0.0116791694714,0.0012238900352,0.0015986638130,0.0019535131784,0.0023114615519,0.0026727808773,0.0030375642567,0.0040995177898,0.0045189953455,0.0049198755508,0.0053243573956,0.0068872418278,0.0100253986041,0.0107267425008,0.0114262877034,0.0011364026211,0.0014421895230,0.0018083853701,0.0022073221633,0.0027533798458,0.0033684775039,0.0041674502077,0.0047264963409,0.0052464109384,0.0058235161416,0.0083559038210,0.0120190677456,0.0131505061358,0.0143550164726,0.0020310661234,0.0025299950754,0.0030388358905,0.0035583797014,0.0043474239481,0.0052324345477,0.0069391108119,0.0076908306392,0.0084277721149,0.0091821009101,0.0099558036400,0.0161706607129,0.0173869530807,0.0186545367473,0.0020543297311,0.0026411499477,0.0033134645389,0.0040710066404,0.0055890037225,0.0070845593372,0.0075619256429,0.0086720900109,0.0098746462489,0.0108342067407,0.0126053383752,0.0141383241207,0.0163144255705,0.0174494226603,0.0027744272315,0.0033060812054,0.0038539293017,0.0044133416556,0.0056622105079,0.0063544807443,0.0094381617154,0.0104763595041,0.0115775394229,0.0120608478243,0.0139150331982,0.0154403184269,0.0178471050257,0.0180255760760,0.0024675223312,0.0030130405148,0.0036128449591,0.0042697134262,0.0057365280246,0.0069536452406,0.0087238353793,0.0101545727595,0.0117407505677,0.0128143271084,0.0154666541703,0.0151784896765,0.0180417886552,0.0189899186034,0.0037075635875,0.0043182613250,0.0049555233030,0.0056111779435,0.0067316169755,0.0080114419150,0.0096254105746,0.0106833432272,0.0118089261721,0.0129870801556,0.0142239656796,0.0172081931933,0.0186455172528,0.0201873314793,0.2422479777520
5,0.0007096935415,0.0016803987713,0.0026451438073,0.0034651383876,0.0045393312877,0.0055342414837,0.0060959351351,0.0066890837192,0.0077605921374,0.0083771711318,0.0101596856261,0.0112480136075,0.0119859373904,0.0127266477169,0.0012236387498,0.0017847336986,0.0023209909103,0.0028606001623,0.0034026874168,0.0039473342315,0.0046570167433,0.0051692885851,0.0059710956011,0.0066201665154,0.0091742141734,0.0109751316164,0.0120407518504,0.0130819765882,0.0015064205381,0.0019677094610,0.0024044744943,0.0028450539304,0.0032897824900,0.0037387747679,0.0047851914178,0.0052748295905,0.0057427598731,0.0062148941950,0.0080391822102,0.0112295681768,0.0120151518143,0.0127987207132,0.0014278057074,0.0018120042965,0.0022721022502,0.0027733367771,0.0034594178027,0.0042322424429,0.0050040268849,0.0056752963041,0.0062995788976,0.0069925325763,0.0100332734128,0.0134944983581,0.0147648292874,0.0161172022923,0.0025518841203,0.0031787513873,0.0038180721759,0.0044708404859,0.0054622161285,0.0065741663843,0.0083320724496,0.0092346930061,0.0101195685950,0.0110253218453,0.0119543381668,0.0181557304658,0.0195213318343,0.0209445208926,0.0025211957034,0.0032413763961,0.0040664808734,0.0049961816233,0.0068591579815,0.0086945928357,0.0091072026484,0.0104442287380,0.0118925269456,0.0130481733068,0.0151812351053,0.0160327280384,0.0185004068404,0.0197874829825,0.0034049422105,0.0040574196071,0.0047297713944,0.0054163155269,0.0069490017053,0.0077985969379,0.0113668469420,0.0126172001057,0.0139434057769,0.0145254780903,0.0167585656325,0.0175091774705,0.0202384510857,0.0204408355965,0.0029753114808,0.0036330913493,0.0043563289982,0.0051483738226,0.0069170428471,0.0083846294948,0.0104037110756,0.0121099535344,0.0140015682788,0.0152818744356,0.0184449378395,0.0172513231072,0.0205056453017,0.0215832555537,0.0044705396859,0.0052069123488,0.0059753158827,0.0067658970882,0.0081169102374,0.0096601091734,0.0114788950327,0.0127405448893,0.0140828718867,0.0154878930859,0.0169629552650,0.0195582108099,0.0211918214186,0.0229441917769,0.2753303013229
6,0.0007302289883,0.0017290222089,0.0027216827736,0.0035654044335,0.0046706798078,0.0056943783811,0.0057792120323,0.0063415427261,0.0073573793789,0.0079419231223,0.0096318245049,0.0116784854891,0.0124446502975,0.0132137082932,0.0014421315449,0.0021034155436,0.0027354267816,0.0033713885998,0.0040102708925,0.0046521697800,0.0052919301552,0.0058740424722,0.0067851636815,0.0075227255443,0.0104249787601,0.0118440380048,0.0129940238994,0.0141176828947,0.0017754068170,0.0023190634372,0.0028338171848,0.0033530664345,0.0038772056748,0.0044063699624,0.0054375794973,0.0059939723887,0.0065256978494,0.0070622005062,0.0091352024496,0.0121186184286,0.0129663970963,0.0138120015175,0.0016939593594,0.0021497754362,0.0026956390861,0.0032903074740,0.0041042791288,0.0050211640563,0.0057172796984,0.0064842290195,0.0071974942117,0.0079892185750,0.0114633737409,0.0146127954728,0.0159883994827,0.0174528444437,0.0030275743873,0.0037712943965,0.0045297893570,0.0053042385572,0.0064804140269,0.0077996401186,0.0095196907924,0.0105509670628,0.0115619690731,0.0125968245583,0.0136582589343,0.0196603066609,0.0211390762280,0.0226802058110,0.0029127285962,0.0037447508368,0.0046979911595,0.0057720711908,0.0079243612750,0.0100448327556,0.0103915780055,0.0119171629125,0.0135697124803,0.0148883379433,0.0173222223012,0.0175575177935,0.0202598847502,0.0216693680404,0.0039337178512,0.0046875227102,0.0054642883833,0.0062574504232,0.0080281574155,0.0090096918223,0.0129698966011,0.0143965852272,0.0159098237282,0.0165739848415,0.0191220014262,0.0191743846870,0.0221632253850,0.0223848576388,0.0034059293792,0.0041589099642,0.0049868220575,0.0058934998136,0.0079181489408,0.0095981399308,0.0118111625239,0.0137482315986,0.0158957507883,0.0173492613662,0.0209402353625,0.0189525430092,0.0225277865413,0.0237116641210,0.0051175624990,0.0059605106417,0.0068401254948,0.0077451278020,0.0092916735691,0.0110582202410,0.0130318012334,0.0144641316197,0.0159880534406,0.0175831509605,0.0192577648558,0.0214869218584,0.0232816291472,0.0252068075453,0.3024816905433
7,0.0007226860136,0.0017111620977,0.0026935688739,0.0035285752249,0.0046224335446,0.0056355577190,0.0055978710178,0.0061425568117,0.0071265183839,0.0076927202227,0.0093295956168,0.0119833426221,0.0127695075245,0.0135586411384,0.0016445373842,0.0023986338197,0.0031193490082,0.0038445692482,0.0045731198566,0.0053051104446,0.0058899595708,0.0065378551236,0.0075519401416,0.0083728522522,0.0116030827360,0.0124611590460,0.0136710637362,0.0148532697920,0.0020245884595,0.0026445482955,0.0032315486872,0.0038236755330,0.0044213786886,0.0050248121663,0.0060520684255,0.0066713380568,0.0072631526451,0.0078602842900,0.0101675516346,0.0127500461916,0.0136419974678,0.0145316612107,0.0019342267062,0.0024546946997,0.0030779824096,0.0037569972105,0.0046864207556,0.0057333545580,0.0063162045845,0.0071634971911,0.0079514818822,0.0088261448892,0.0126642420165,0.0154140401539,0.0168650708950,0.0184098138892,0.0034569986597,0.0043062062254,0.0051722843877,0.0060565797030,0.0073995812290,0.0089059233523,0.0105169447357,0.0116562543813,0.0127731658968,0.0139164297049,0.0150890567278,0.0207383150523,0.0222981680953,0.0239238004612,0.0032348847313,0.0041589310175,0.0052176024533,0.0064104788160,0.0088008183553,0.0111558200621,0.0114375874173,0.0131167366984,0.0149356308195,0.0163869882549,0.0190658658125,0.0187468773580,0.0216323047007,0.0231372674574,0.0043687983256,0.0052059761635,0.0060686543474,0.0069495423834,0.0089160946465,0.0100061895733,0.0142754378681,0.0158457360336,0.0175112961275,0.0182423112619,0.0210468095212,0.0204732720404,0.0236645790729,0.0239012248636,0.0037651167907,0.0045975062880,0.0055127295287,0.0065150250149,0.0087531925092,0.0106103544113,0.0129669632638,0.0150935874196,0.0174512556326,0.0190470018794,0.0229893765437,0.0203114961594,0.0241430951820,0.0254118602708,0.0056572577842,0.0065891027675,0.0075614813122,0.0085619246576,0.0102715682782,0.0122244139762,0.0143070495824,0.0158795430151,0.0175525907128,0.0193037791247,0.0211422651177,0.0230275974359,0.0249509905228,0.0270142098818,0.3241705185820
8,0.0006862898509,0.0016249839610,0.0025579144277,0.0033508679003,0.0043896369494,0.0053517378142,0.0055307509845,0.0060689058439,0.0070410694427,0.0076004823637,0.0092177311657,0.0121078399408,0.0129021724660,0.0136995045452,0.0018265057434,0.0026640430859,0.0034645055404,0.0042699715312,0.0050791363963,0.0058921218753,0.0064461111213,0.0071551833446,0.0082650219834,0.0091634476215,0.0126986882960,0.0128761082093,0.0141263020040,0.0153478748163,0.0022486095389,0.0029371680430,0.0035891201342,0.0042467659227,0.0049106050407,0.0055808085418,0.0066235268877,0.0073012702252,0.0079489661140,0.0086024811154,0.0111276090914,0.0131746151245,0.0140962678461,0.0150155568610,0.0021481271580,0.0027261521786,0.0034183674461,0.0041724725000,0.0052046782657,0.0063673894031,0.0068094110178,0.0077228652185,0.0085723803926,0.0095153422358,0.0136531405791,0.0159361694266,0.0174363518253,0.0190334208501,0.0038392979904,0.0047824169271,0.0057442721303,0.0067263590678,0.0082178791890,0.0098908032645,0.0113381696869,0.0125664433359,0.0137705698771,0.0150031064529,0.0162672990962,0.0214407967668,0.0230534876723,0.0247341860842,0.0034934015707,0.0044912933090,0.0056345688084,0.0069227742641,0.0095041385459,0.0120473409611,0.0122668374612,0.0140677287290,0.0160184966425,0.0175750806588,0.0204481826845,0.0196335324270,0.0226554293657,0.0242315710624,0.0047179322296,0.0056220134000,0.0065536327846,0.0075049172675,0.0096286271785,0.0108058373872,0.0153104382617,0.0169945864705,0.0187809033054,0.0195649186320,0.0225727491344,0.0214415789262,0.0247838224856,0.0250316607105,0.0040584213000,0.0049556543616,0.0059421739573,0.0070225487707,0.0094350706489,0.0114369064060,0.0138911787104,0.0161693772058,0.0186950873370,0.0204045697994,0.0246279357404,0.0213565118699,0.0253852446311,0.0267192870112,0.0060979610373,0.0071023972178,0.0081505245447,0.0092289029346,0.0110717286611,0.0131767020303,0.0153267791790,0.0170113514918,0.0188036450371,0.0206796487467,0.0226491721398,0.0242123551173,0.0262347057590,0.0284040766603,0.3408489199240
9,0.0006156383809,0.0014576967638,0.0022945848531,0.0030059061576,0.0039377370665,0.0048007925493,0.0055041642688,0.0060397321793,0.0070072225181,0.0075639463012,0.0091734208725,0.0120716535152,0.0128636120368,0.0136585611477,0.0019844207955,0.0028943694915,0.0037640378988,0.0046391424353,0.0055182656415,0.0064015397822,0.0069548870928,0.0077199246730,0.0089173601932,0.0098866963955,0.0137009650723,0.0131319183492,0.0144069497924,0.0156527916390,0.0024430186141,0.0031911081393,0.0038994263541,0.0046139305288,0.0053351634925,0.0060633110878,0.0071463058568,0.0078775418379,0.0085763587978,0.0092814541588,0.0120058843831,0.0134363557129,0.0143763189448,0.0153138715101,0.0023353364057,0.0029637362977,0.0037162781147,0.0045361034120,0.0056582658938,0.0069223072884,0.0072051220101,0.0081716591967,0.0090705417083,0.0100683012962,0.0144465568956,0.0162149762765,0.0177414047020,0.0193664148067,0.0041738927492,0.0051992044863,0.0062448853551,0.0073125611536,0.0089340672297,0.0107527866117,0.0119970575652,0.0132967091034,0.0145708102881,0.0158749724818,0.0172126303520,0.0218159083037,0.0234568135974,0.0251669162041,0.0036937977170,0.0047489327051,0.0059577912758,0.0073198935921,0.0100493357412,0.0127384268993,0.0129000055887,0.0147938521072,0.0168453113416,0.0184822403849,0.0215036411579,0.0202487504195,0.0233653386918,0.0249908688892,0.0049885725835,0.0059445156365,0.0069295766112,0.0079354307565,0.0101809655632,0.0114257054802,0.0161007056437,0.0178717832645,0.0197503030725,0.0205747863289,0.0237378697571,0.0221134521713,0.0255604251460,0.0258160293975,0.0042911973117,0.0052398923380,0.0062829950433,0.0074253361538,0.0099762313500,0.0120928849905,0.0146031661544,0.0169981329066,0.0196532974159,0.0214503987964,0.0258902318625,0.0221149019886,0.0262866988952,0.0276681143933,0.0064477174931,0.0075097644121,0.0086180084398,0.0097582386193,0.0117067620030,0.0139324688469,0.0161123478165,0.0178832622864,0.0197674192025,0.0217395768176,0.0238100474346,0.0250721589554,0.0271663251984,0.0294127325308,0.3529527903702
10,0.0005007021310,0.0011855529133,0.0018661986669,0.0024447202537,0.0032025835323,0.0039045113732,0.0053918966509,0.0059165406626,0.0068642972452,0.0074096656163,0.0089863119748,0.0119688805510,0.0127540966719,0.0135422779216,0.0021154014112,0.0030854107761,0.0040124811738,0.0049453465095,0.0058824957649,0.0068240699350,0.0074102859267,0.0082254173787,0.0095012597418,0.0105340670789,0.0145980901348,0.0132650417056,0.0145529986377,0.0158114700670,0.0026042687295,0.0034017354970,0.0041568058705,0.0049184705047,0.0056873080581,0.0064635166395,0.0076142385940,0.0083933551530,0.0091379299268,0.0098891942048,0.0127920173103,0.0135725652691,0.0145220572733,0.0154691141731,0.0024956864211,0.0031672338152,0.0039714470281,0.0048475635727,0.0060467765261,0.0073976101517,0.0075111741116,0.0085187669161,0.0094558312769,0.0104959727174,0.0150602035611,0.0162841096501,0.0178170460806,0.0194489844983,0.0044604826234,0.0055561948186,0.0066736747410,0.0078146598196,0.0095475025424,0.0114910997280,0.0125066568022,0.0138615136629,0.0151897348673,0.0165492939827,0.0179437715711,0.0219089215350,0.0235568229117,0.0252742166276,0.0038413729130,0.0049386628226,0.0061958179038,0.0076123391492,0.0104508284067,0.0132473545639,0.0133568401255,0.0153177544054,0.0174418630215,0.0191367614754,0.0222651606689,0.0206223404779,0.0237964298982,0.0254519511769,0.0051878768316,0.0061820118741,0.0072064281620,0.0082524683526,0.0105877171244,0.0118821870892,0.0166708882187,0.0185046859228,0.0204497307195,0.0213034118258,0.0245785111553,0.0225214460335,0.0260320157640,0.0262923359216,0.0044686060510,0.0054565224826,0.0065427496406,0.0077323179658,0.0103886734958,0.0125928348472,0.0151215747622,0.0176015622125,0.0203509843726,0.0222118823856,0.0268093283731,0.0226129608991,0.0268787125798,0.0282912395112,0.0067142821250,0.0078202366977,0.0089742982819,0.0101616684050,0.0121907485777,0.0145084716625,0.0166843319816,0.0185181134554,0.0204691574530,0.0225113261515,0.0246552979379,0.0256368194806,0.0277781493130,0.0300751489198,0.3609017870376
